problem_type,size,n_items,collapse_value,collapse_time,collapse_selected,dp_value,dp_time,speedup,value_ratio
01 Knapsack,50,50,1957.7304649580221,0.00019121170043945312,25,2063.1685881094295,0.011841058731079102,61.92643391521197,0.9488950521256119
01 Knapsack,100,100,3656.1729010389854,0.0003466606140136719,50,3837.497631430937,0.04833507537841797,139.4305364511692,0.9527492267599553
01 Knapsack,200,200,8056.8519303022495,0.0007112026214599609,101,8695.335980113945,0.19697904586791992,276.9661414683205,0.9265716642494441
01 Knapsack,500,500,20258.74559866356,0.0017969608306884766,254,21613.929063864427,1.3558518886566162,754.5250099509088,0.9373004574412827
01 Knapsack,1000,1000,38520.78025581475,0.0039331912994384766,500,40952.44245814942,5.588375091552734,1420.8246347820816,0.9406222912145068
01 Knapsack,2000,2000,76947.27563283044,0.0077130794525146484,999,82193.75180946628,22.66983914375305,2939.1424376371674,0.9361694038642047
Unbounded Knapsack,20,20,8926.358460404728,0.0001068115234375,4,9320.591383087569,0.0037598609924316406,35.200892857142854,0.9577030140600107
Unbounded Knapsack,50,50,28867.944179482525,0.00020122528076171875,4,29067.649943398625,0.021926164627075195,108.9632701421801,0.9931296212695222
Unbounded Knapsack,100,100,57408.434476329356,0.00038814544677734375,4,59951.486383242795,0.09834003448486328,253.35872235872236,0.957581503640179
Unbounded Knapsack,200,200,128391.42610666098,0.0008158683776855469,4,138687.5277045855,0.3593590259552002,440.46201052016363,0.9257604359358402
Unbounded Knapsack,500,500,435526.239937724,0.001990079879760742,4,424381.9589224294,2.209805727005005,1110.41056667066,1.0262600253874874
Bounded Knapsack,20,20,3018.1767919643607,0.0005822181701660156,19,,,,
Bounded Knapsack,50,50,6868.447951090462,0.001190185546875,46,,,,
Bounded Knapsack,100,100,11554.16962878382,0.002429962158203125,89,,,,
Bounded Knapsack,200,200,25406.65714367374,0.005421876907348633,175,,,,
Bounded Knapsack,500,500,56558.27219536302,0.012946128845214844,434,,,,
Group Knapsack,10,50,723.6001801643104,0.0003383159637451172,8,,,,
Group Knapsack,20,100,977.1897717561449,0.0006649494171142578,11,,,,
Group Knapsack,50,250,2850.171059018013,0.0016949176788330078,32,,,,
Group Knapsack,100,500,5382.247821474223,0.0034728050231933594,59,,,,
Group Knapsack,200,1000,10552.066500528683,0.007426023483276367,115,,,,
Multi-Dimensional,50,50,1384.434600610044,0.00033402442932128906,16,,,,
Multi-Dimensional,100,100,2959.538951585643,0.0005719661712646484,36,,,,
Multi-Dimensional,200,200,6226.5284708103245,0.001149892807006836,80,,,,
Multi-Dimensional,500,500,15708.093398870451,0.0029268264770507812,193,,,,
Multi-Dimensional,1000,1000,32082.704637732466,0.0059051513671875,387,,,,
